ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/21/2014 12:00:00 AM,10,12,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,12,10,10,28,12,10,10,10,10,10,10,12,10,12,10,10,10,10,12,10,10,10,10,10,10,10,10
10/21/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,12,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,12,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10
10/21/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 5:00:00 AM,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 6:00:00 AM,10,10,10,10,10,10,10,10,24,10,10,10,10,10,10,10,10,10,12,10,12,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,24,10,10,10,10,12,10,10,12,10,10,10,10,10,10,12,10,10,10,10,12,10,10
10/21/2014 7:00:00 AM,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,12,26,28,26,32,12,34,28,30,30,30,10,36,12,30,34,30,38,36,28,34,12,12,32,30
10/21/2014 8:00:00 AM,32,40,24,26,26,28,32,32,40,38,26,12,12,10,12,12,12,12,10,12,12,10,12,12,12,12,28,26,12,12,10,10,10,12,12,12,12,12,12,10,12,10,42,10,10,12,26,42,26,26,10,10,10,12,12,12,12,12,10,10
10/21/2014 9:00:00 AM,26,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,12,10,10,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,12,12,12,12,12,12,42,12,12,12,12,12,12,10,12,26,12,12,12,12,10,10,12,10,10
10/21/2014 10:00:00 AM,12,10,12,10,10,10,12,10,12,28,36,12,10,24,26,10,10,10,12,10,10,12,12,28,12,12,12,10,10,24,10,12,12,12,12,12,12,12,10,10,12,12,12,12,10,12,12,12,12,12,12,12,12,24,40,12,26,12,12,34
10/21/2014 11:00:00 AM,34,12,12,28,30,38,12,10,12,12,12,12,12,12,12,12,10,10,12,10,10,12,12,12,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,10,12,12,12,12,38,28,28,26,12,12,30,12,10,10,12,10,10,12,26,12
10/21/2014 12:00:00 PM,34,32,34,32,12,36,28,26,36,26,12,12,12,10,12,12,12,12,12,12,12,24,12,12,12,26,10,24,10,12,12,12,12,12,12,12,12,12,12,40,36,12,26,10,10,32,12,34,28,10,10,10,10,10,12,12,12,12,12,10
10/21/2014 1:00:00 PM,12,10,30,26,30,40,12,12,12,12,12,12,12,10,12,12,10,12,12,12,12,10,12,12,12,26,12,12,12,12,12,12,12,12,12,12,12,36,34,32,24,32,30,26,28,26,24,26,24,26,26,12,30,26,26,12,10,10,10,10
