ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/21/2014 12:00:00 AM,10,10,12,10,10,12,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,30,26,26,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10
10/21/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 2:00:00 AM,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10
10/21/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10
10/21/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,26,10,10,10,10,10,10,10
10/21/2014 5:00:00 AM,12,10,10,10,10,10,10,10,10,10,10,12,12,12,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 6:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10
10/21/2014 7:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 8:00:00 AM,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,12,12,12
10/21/2014 9:00:00 AM,28,34,12,10,10,12,10,10,10,10,10,12,10,10,12,10,10,10,10,10,10,10,12,10,10,12,10,10,10,10,12,12,26,24,10,10,10,12,10,12,10,10,10,10,10,10,10,28,26,36,12,12,10,12,10,10,10,10,12,30
10/21/2014 10:00:00 AM,24,28,26,10,10,10,10,10,10,10,10,28,12,26,26,12,12,34,12,12,12,12,12,12,26,12,12,12,12,12,26,12,12,38,30,12,12,34,26,26,12,34,28,24,10,12,12,12,12,12,34,28,24,12,26,32,10,10,10,12
10/21/2014 11:00:00 AM,26,10,12,10,26,12,28,10,10,12,24,12,10,26,12,12,24,12,28,28,12,12,36,28,12,30,28,30,12,28,12,12,10,12,10,10,28,10,10,12,12,28,30,30,10,10,10,10,10,12,10,28,40,30,24,30,30,30,30,30
10/21/2014 12:00:00 PM,54,68,78,72,44,28,42,62,28,26,12,12,12,10,10,10,12,10,10,10,12,36,36,72,78,82,80,80,82,78,62,34,12,32,56,78,80,78,80,78,82,80,80,78,76,76,74,66,36,12,26,28,12,12,12,12,12,28,12,12
10/21/2014 1:00:00 PM,12,12,12,12,12,12,12,26,12,12,12,12,10,12,12,32,42,32,12,10,12,10,12,10,10,10,12,12,12,12,10,12,12,12,12,10,12,12,12,12,12,10,12,12,12,10,10,12,12,12,12,28,38,26,12,12,24,12,12,12
10/21/2014 2:00:00 PM,24,28,12,12,12,24,32,28,10,12,12,12,12,24,10,12,12,12,12,12,12,30,28,50,44,54,70,78,78,62,76,80,80,78,80,80,74,68,64,38,28,28,30,12,30,28,26,32,28,32,30,34,42,40,30,26,12,26,26,12
10/21/2014 3:00:00 PM,12,12,28,26,12,10,12,10,12,12,10,12,10,10,10,12,12,12,30,24,32,32,28,30,12,12,12,10,12,12,26,26,12,12,10,12,12,12,28,28,12,12,26,12,30,12,12,10,12,12,12,12,12,12,12,28,12,12,12,12
10/21/2014 4:00:00 PM,24,12,12,10,10,10,12,12,12,28,12,12,10,12,32,12,12,10,12,12,12,12,24,12,12,38,28,12,26,12,12,12,12,10,12,12,12,10,10,10,10,12,12,12,12,10,10,12,10,12,26,10,10,10,10,10,10,10,10,10
10/21/2014 5:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,38,38,56,64,32,12,10,10,12,10,12,12,10,10,10,10,10,12,12,26,56,40,36,12,12,26,12,28,28,26,30,30
10/21/2014 6:00:00 PM,12,26,12,12,30,26,12,10,12,12,12,12,12,12,26,12,24,12,12,12,26,28,26,24,12,12,26,12,24,26,12,32,12,12,26,12,10,26,12,24,24,12,12,28,26,10,12,12,12,30,12,26,26,26,26,32,26,12,12,12
10/21/2014 7:00:00 PM,12,12,10,12,12,10,10,54,12,12,12,10,12,12,12,42,58,64,44,30,30,12,12,32,24,26,12,30,32,30,12,24,12,28,28,32,12,12,12,10,30,12,10,12,10,10,12,12,12,12,12,12,12,12,32,24,12,24,12,12
