ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/22/2014 7:00:00 AM,10,10,10,10,10,12,10,26,38,40,34,26,10,10,10,10,10,10,10,10,26,10,10,10,10,10,10,12,30,42,24,26,12,12,10,12,10,10,10,10,12,12,12,42,60,70,70,68,70,68,70,66,68,42,36,12,12,10,12,12
10/22/2014 8:00:00 AM,28,60,40,32,12,12,10,10,10,12,10,10,12,10,10,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,12,12,10,10,12,10,10,12,12,12,10,10,10,12,12,40,72,72,78,78,78,80,78
10/22/2014 9:00:00 AM,50,12,12,12,12,12,12,12,12,34,30,36,28,12,12,12,12,12,12,12,12,12,30,34,40,12,10,10,10,10,10,10,10,10,10,26,12,30,26,12,12,34,26,36,54,40,24,12,24,12,12,12,12,12,10,12,30,52,72,76
10/22/2014 10:00:00 AM,76,74,78,74,78,76,72,50,28,12,12,10,10,10,10,10,10,12,12,10,10,10,24,10,10,12,10,10,12,12,12,10,12,10,10,10,12,10,10,12,10,12,12,10,12,10,10,10,10,10,10,10,10,10,12,12,12,12,10,12
10/22/2014 11:00:00 AM,12,10,12,10,12,10,10,12,10,10,12,12,10,12,10,12,10,12,42,58,42,44,50,79,90,78,68,50,12,10,12,28,26,36,56,72,76,72,64,56,12,10,12,12,12,10,10,10,12,10,10,10,10,10,10,12,12,10,10,12
10/22/2014 12:00:00 PM,26,10,10,10,10,10,12,10,10,12,12,10,10,12,10,12,10,10,12,10,10,10,10,12,28,26,10,10,24,26,10,12,12,26,10,10,10,10,24,12,12,12,24,12,12,10,12,12,10,12,10,12,10,12,10,10,12,10,12,10
10/22/2014 1:00:00 PM,10,10,10,10,12,24,10,12,12,10,12,12,12,32,58,78,74,70,72,36,54,32,60,24,10,10,10,10,10,26,36,50,56,12,12,12,10,10,10,12,10,10,10,12,10,12,30,12,10,10,10,12,10,10,10,10,12,42,28,12
10/22/2014 2:00:00 PM,26,12,12,12,12,24,12,12,12,36,36,10,12,10,12,12,10,12,24,12,12,10,26,42,50,26,36,72,76,74,68,26,12,12,10,12,10,12,12,10,12,10,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,12,10
10/22/2014 3:00:00 PM,10,10,12,12,12,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,12,12,10,12,10,12,12,10,10,12,12,10,10,10,10,12,10,12,10,12,12,10,10,10,10,10,10,10,26,44,28,12,10,12,12
10/22/2014 4:00:00 PM,12,12,12,12,12,12,10,12,12,12,10,12,12,12,10,10,12,42,72,76,85,95,93,88,81,90,50,30,12,12,10,10,10,12,12,12,12,12,26,32,32,28,34,10,12,26,40,10,10,10,10,10,10,10,10,10,10,12,10,10
10/22/2014 5:00:00 PM,26,12,10,10,10,10,10,10,12,12,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,12,10,12,10,10,12,10,10,10,10,28,12,10,10,28,24,10,10,10,10,10,10,10,12,10,10,10,10,12,10,10,10
10/22/2014 6:00:00 PM,10,10,10,10,10,10,10,10,10,12,10,10,10,10,12,12,10,10,10,10,12,12,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,12,34,24,12,26,26,12,12,12,10,10,10,26,32,30,30,12,36,36,24,30
10/22/2014 7:00:00 PM,32,38,38,30,28,26,52,38,42,30,10,26,12,12,10,10,10,12,12,12,12,12,12,12,10,12,10,34,66,74,76,76,76,74,62,72,72,64,56,12,12,32,40,12,12,12,10,12,10,12,12,10,12,10,12,10,12,10,10,10
10/22/2014 8:00:00 PM,10,26,34,56,56,52,50,74,74,74,76,66,56,56,44,24,12,12,32,10,10,10,10,10,12,12,12,12,12,12,12,12,12,10,42,10,12,12,12,32,12,10,10,10,10,10,10,12,12,12,12,12,10,12,12,10,12,12,12,10
10/22/2014 9:00:00 PM,10,12,10,12,10,12,12,12,10,12,10,12,12,10,12,12,12,12,26,24,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,10,12,10,10,12,12,12,12,12,10
10/22/2014 10:00:00 PM,12,42,34,12,12,12,10,10,12,12,10,10,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,12,12,12,12,10,12,12,12,12,10,12,12,12,10,12,12,12,12,12,24,28,30,62,70
10/22/2014 11:00:00 PM,74,54,28,12,12,10,10,10,10,12,24,34,36,12,30,12,10,10,10,12,12,12,12,32,30,36,26,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 5:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 6:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 7:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 8:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 9:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,10,12,26,38,28,10,12,26,12,34,12,12,12,12,12,12,12,10,10,26,24,28,60,74,80,80,78
10/23/2014 10:00:00 AM,40,26,72,74,62,74,40,24,24,32,58,58,44,52,32,26,28,12,12,12,26,26,28,26,32,12,28,40,30,32,28,44,30,36,44,32,36,38,34,12,34,28,32,38,36,42,26,28,12,28,26,34,12,12,12,12,42,32,12,12
10/23/2014 11:00:00 AM,26,12,12,38,26,30,32,30,60,64,66,28,38,44,66,68,72,76,54,64,64,62,32,26,36,12,10,10,12,10,12,12,12,12,12,12,12,12,10,10,12,10,10,10,12,12,10,12,12,12,12,12,10,12,12,10,12,12,10,10
10/23/2014 12:00:00 PM,12,12,10,10,12,10,10,12,12,10,10,10,12,12,12,10,12,10,10,10,10,12,12,12,12,10,12,10,10,12,10,10,12,10,12,12,34,42,30,30,26,56,74,54,60,70,76,72,52,12,26,10,10,12,12,10,10,10,10,10
