ActivityDay,Calories
9/18/2013,2681
9/19/2013,2446
9/20/2013,2681
9/21/2013,2681
9/22/2013,2804
9/23/2013,2325
9/24/2013,2540
9/25/2013,2518
9/26/2013,2290
9/27/2013,2449
9/28/2013,2681
9/29/2013,2167
9/30/2013,2681
10/1/2013,2675
10/2/2013,2675
10/3/2013,2675
10/4/2013,2675
10/5/2013,2793
10/6/2013,2675
10/7/2013,2675
10/8/2013,2698
10/9/2013,2767
10/10/2013,2298
10/11/2013,2277
10/12/2013,2675
10/13/2013,3317
10/14/2013,2675
10/15/2013,2767
10/16/2013,2765
10/17/2013,2529
10/18/2013,2675
10/19/2013,2457
10/20/2013,2841
10/21/2013,2675
10/22/2013,2522
10/23/2013,2558
10/24/2013,2494
10/25/2013,2697
10/26/2013,2697
10/27/2013,2697
10/28/2013,2697
10/29/2013,3320
10/30/2013,2697
10/31/2013,2697
11/1/2013,2697
11/2/2013,2697
11/3/2013,2229
11/4/2013,2486
11/5/2013,2574
11/6/2013,2359
11/7/2013,2583
11/8/2013,2708
11/9/2013,3118
11/10/2013,2755
11/11/2013,2653
11/12/2013,2590
11/13/2013,2697
11/14/2013,2616
11/15/2013,2507
11/16/2013,3008
11/17/2013,2426
11/18/2013,2329
11/19/2013,2425
11/20/2013,2697
11/21/2013,2657
11/22/2013,2518
11/23/2013,2427
11/24/2013,2572
11/25/2013,2675
11/26/2013,2675
11/27/2013,2675
11/28/2013,2675
11/29/2013,2675
11/30/2013,2265
12/1/2013,2204
12/2/2013,2606
12/3/2013,2635
12/4/2013,2675
12/5/2013,2378
12/6/2013,2675
12/7/2013,2675
12/8/2013,2675
12/9/2013,2675
12/10/2013,2675
12/11/2013,2675
12/12/2013,2215
12/13/2013,2793
12/14/2013,2570
12/15/2013,2520
12/16/2013,2557
12/17/2013,2541
12/18/2013,2757
12/19/2013,2723
12/20/2013,2737
12/21/2013,2300
12/22/2013,2665
12/23/2013,2665
12/24/2013,2665
12/25/2013,2665
12/26/2013,2665
12/27/2013,2665
12/28/2013,2665
12/29/2013,2665
12/30/2013,2665
12/31/2013,2665
1/1/2014,2665
1/2/2014,2665
1/3/2014,2665
1/4/2014,2665
1/5/2014,2665
1/6/2014,2665
1/7/2014,2442
1/8/2014,2751
1/9/2014,2634
1/10/2014,2564
